"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PRC1",0.885344493579071,10.0603084234478,8.1179946140207,9.66447922232394e-15,3.48079462937127e-12,22.9219946834826
"EXO1",1.10343200540106,7.61197924807674,8.09975158164123,1.095172291791e-14,3.68623966486885e-12,22.8010078514493
"KIF14",0.931880485243942,8.46622227387132,8.0884569218778,1.18321628358629e-14,3.82770467740165e-12,22.7261922532382
"MYBL2",1.46449912666673,7.7519469233122,8.07651774770592,1.28389512747613e-14,4.07788436034191e-12,22.6471823837091
"HJURP",0.941731018224285,8.30389250975231,7.97422994765863,2.57629878480904e-14,7.75954542617742e-12,21.9734502452507
"CDCA8",1.01529764195767,8.30771838626538,7.89587288490596,4.3753452197693e-14,1.25299845318278e-11,21.4612273816553
"LRP8",0.77950622480429,8.14048677902303,7.86762108822535,5.2915467544188e-14,1.49093597182165e-11,21.2773797654777
"CEP55",0.926034825754208,8.95406237803316,7.84654143329497,6.09628640820304e-14,1.68678801125441e-11,21.1404948214164
"CLPB",0.588523831925784,6.53971930275025,7.74683947693177,1.18685312081088e-13,3.04899075991843e-11,20.4964449564769
"RNASEH2A",0.591279691052263,9.68215359615055,7.70023757333853,1.61732316740494e-13,3.91948492173737e-11,20.1973398972191
"SKP2",0.679095735246868,7.58991808200674,7.69833104033767,1.63788653779168e-13,3.91948492173737e-11,20.1851295799106
"AURKA",0.805785627671209,8.11380017665036,7.66837004387311,1.99706946140199e-13,4.5903692659515e-11,19.9935189419487
"CDCA5",0.834246672708294,8.28163147062569,7.62715752105528,2.62104743335639e-13,5.87013815555165e-11,19.7307938571075
"RRM2",0.853694068866247,10.4432911289367,7.59801891703919,3.17472593189781e-13,6.68184184389433e-11,19.5456304095915
"HOMER3",0.735872042466611,8.35492027143473,7.56705224386974,3.88978458546388e-13,8.08936272898436e-11,19.3493902216694
"ERCC6L",0.981939957967199,7.16582620977042,7.53579876288714,4.77217929015404e-13,9.80767059055305e-11,19.1518989140036
"CENPF",0.790026212663156,7.96924191238393,7.53016150215892,4.95114815078687e-13,9.94156402828688e-11,19.1163377272716
"TROAP",0.619364919510373,8.35302585646083,7.48477428907769,6.65495970329355e-13,1.28266585673994e-10,18.8307035865056
"LAD1",0.873070999715567,8.57681748127354,7.48247671210481,6.75512386628167e-13,1.28266585673994e-10,18.8162765185698
"TK1",0.761754216475651,9.53339270044268,7.47264313084059,7.20088911923879e-13,1.34891114871461e-10,18.7545641364053
"SQLE",0.744330468363186,8.97963340473573,7.46570290190188,7.5328325588639e-13,1.37713321474951e-10,18.7110438469097
"CKS2",0.673439649603566,11.3413678816209,7.46466940559941,7.58353738103917e-13,1.37713321474951e-10,18.704565505854
"NCAPG",0.822650047689138,8.45995897424407,7.4633894923991,7.64679843326476e-13,1.37713321474951e-10,18.696543406286
"NUF2",1.02020025817386,9.01775215439381,7.44529183601045,8.59900780323309e-13,1.53281701341509e-10,18.5832165931219
"CENPE",0.864737057355008,8.27175222104451,7.43643316061997,9.10681649356514e-13,1.60098666327134e-10,18.5278146147737
"HMMR",0.764065719161502,8.84552620271915,7.43048960531662,9.46397778635801e-13,1.63689334603849e-10,18.4906698248442
"CDCA3",0.831954399129871,8.51728913958753,7.41280054734448,1.06106834322739e-12,1.78228873921532e-10,18.3802445795832
"CEP126",-0.831821007077903,7.74196297116756,-7.36562992430508,1.43813988042434e-12,2.26332122262457e-10,18.0866898904373
"CENPA",0.631905625237555,8.01850313301787,7.34897177418861,1.60066139417414e-12,2.47450919423257e-10,17.9833399241453
"EFNA3",0.778338605214208,8.3471571117972,7.33640359778305,1.73513682754945e-12,2.59069275559499e-10,17.9054750449199
"CDK1",0.7214102057901,8.54414378943431,7.30308270461899,2.14792024669942e-12,3.05057063330017e-10,17.6994988130716
"INAVA",1.11961776657601,9.18128003267933,7.26736973355732,2.6979547855432e-12,3.77044577189233e-10,17.4794801599546
