"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LPO",1.70325951665674,1.45997213896354,13.8824476490404,3.51623151037996e-40,6.58902715806201e-38,80.4354844792992
"TKT",0.770922703206635,11.8530888601537,13.8776581190413,3.71864258381649e-40,6.89174804132584e-38,80.380087715648
"ABCB1",-1.58301803177582,5.83455345447525,-13.8619242658605,4.46884022673093e-40,8.19206417650186e-38,80.1981971094686
"APBB2",-0.979813532796291,10.9436946003056,-13.8478629524219,5.26587079828916e-40,9.54934527023083e-38,80.0357595213632
"SEC61G",0.72485982145388,10.0633915694853,13.8429087838701,5.57918670459225e-40,1.00098918907392e-37,79.9785549977037
"RAET1L",1.7776415038413,1.35212643925531,13.8350541149981,6.11441538505678e-40,1.08546963651561e-37,79.8878874438794
"PSMG1",0.799119342710002,8.76904309099269,13.8307945558706,6.42574355136327e-40,1.12885588535147e-37,79.8387332764826
"SLC16A3",1.25695106100892,9.28509994443798,13.8289785808223,6.56322518578961e-40,1.14112157482827e-37,79.8177805195974
"UQCRH",0.724383293661607,10.5806625413659,13.8109506817545,8.0973932558052e-40,1.39349527815464e-37,79.609875066935
"SLC2A1",1.00560163305932,10.9294255864052,13.7964457735074,9.58711219535452e-40,1.63319845630964e-37,79.442731354843
"CDK17",-0.716832121258962,9.57450873978634,-13.7359772785705,1.93590871564116e-39,3.23258420686022e-37,78.7472196390198
"PARP11",-0.852312369609613,8.01516172648925,-13.6780414236058,3.78839615608944e-39,6.2638530561224e-37,78.0827853129442
"TMEM45A",1.37673779830899,8.73382870947777,13.6714114734578,4.09042782328515e-39,6.69757914948583e-37,78.0068719740589
"ZDHHC17",-0.594731537496694,9.11197739000479,-13.5995033255176,9.383920235674e-39,1.52172898821771e-36,77.1851333772763
"CALR",0.628609429881026,14.1675208041354,13.5899597898941,1.04748576084184e-38,1.6824616530093e-36,77.0762962314353
"PPP1R14B",0.930923918992491,10.3057358433991,13.5715563856935,1.29476248029983e-38,2.06001596511855e-36,76.8665664131906
"APH1B",-0.947311520149793,8.80950942397368,-13.5450919683523,1.75549687793106e-38,2.74133841169512e-36,76.5653128546865
"TRIM66",-0.894263288075316,7.95451871252035,-13.5071144486154,2.71531987944253e-38,4.20127245566957e-36,76.1337073070414
"AGR3",-4.00594827649853,8.91916367704098,-13.4850360780302,3.49764341016675e-38,5.29884748364914e-36,75.8831750110344
"MAP3K12",-0.990747856106716,7.66350185734484,-13.4845061650321,3.51895000396504e-38,5.29884748364914e-36,75.8771653393745
"AGBL2",-1.37960052643261,3.9919996540916,-13.480297264355,3.69283407311864e-38,5.51147315426069e-36,75.8294385431679
"ULBP2",1.58032834250781,3.89515301126583,13.4719122533067,4.06515156737983e-38,6.01392817402288e-36,75.7343873746884
"NOVA1",-2.45511641140991,6.68837627819075,-13.4664235785588,4.32886785948932e-38,6.34837882176413e-36,75.6721906948515
"PGM5",-1.63954948212739,6.38699597192963,-13.4442432569446,5.57968443359544e-38,8.1121877562575e-36,75.421025343149
"ACADSB",-1.4796417342267,10.5372634651029,-13.443108828573,5.65254948833076e-38,8.14788436929045e-36,75.4081869927617
"GFRA1",-3.40297538991874,10.8074965514701,-13.4102530937452,8.22808867241672e-38,1.17598911407041e-35,75.0366827230054
"ZMAT1",-1.20397530430928,8.197570730243,-13.4060040022066,8.6370658366576e-38,1.22406819609437e-35,74.9886835653928
"ZNF620",-0.838038352390622,5.67410539387805,-13.3813171759798,1.14465562285218e-37,1.56948106336602e-35,74.7100212298233
"SCUBE2",-2.93988587309239,10.8290220885048,-13.3477002535576,1.67872205289007e-37,2.28319737274121e-35,74.3311293750159
"SPG11",-0.665840924992738,10.7424536098287,-13.3302756384154,2.04675633726053e-37,2.76148365023191e-35,74.134999150578
"BRI3",0.64721036965803,10.0436247360576,13.3186014236765,2.33722303048029e-37,3.12835447690873e-35,74.0036946075936
"RERG",-1.72131548509172,9.78188617546044,-13.3176288721345,2.3631971210458e-37,3.13821412964074e-35,73.9927595415271
"GAPT",-1.26441325893678,5.97078176597913,-13.3123289394458,2.50987591948663e-37,3.30695760797984e-35,73.9331785098712
