StromalScore	ImmuneScore	ESTIMATEScore	TumorPurity
TCGA-A2-A0EW-01	1269.88628985102	416.831423162658	1686.71771301368	0.658044307494026
TCGA-A2-A0EX-01	880.325796632054	-98.3607976673788	781.964998964675	0.751956976912384
TCGA-A2-A0EY-01	187.028800905277	317.481591597207	504.510392502485	0.778173819128259
TCGA-A2-A0ST-01	517.061839284284	2662.21742238244	3179.27926166673	0.478659936754423
TCGA-A2-A0SU-01	302.790323092388	-93.8300261478196	208.960296944569	0.804679935266824
TCGA-A2-A0SV-01	671.392172250387	721.242463149356	1392.63463539974	0.689925778648478
TCGA-A2-A0SW-01	649.427582686876	1168.60877462343	1818.0363573103	0.64340848892411
TCGA-A2-A0SX-01	769.752936435531	1404.7595771627	2174.51251359823	0.602488928213137
TCGA-A2-A0SY-01	1116.3932483564	639.924898413559	1756.31814676996	0.65031725964033
TCGA-A2-A0T0-01	224.411395051159	-42.4951100789771	181.916284972182	0.807030462735831
TCGA-A2-A0T1-01	1312.46926415614	1649.43686778511	2961.90613194125	0.506426647232933
TCGA-A2-A0T2-01	-39.6188061350645	-33.681289982022	-73.3000961170865	0.828581189857006
TCGA-A2-A0T3-01	-363.429900594379	-952.956459607935	-1316.38636020231	0.916419069318027
TCGA-A2-A0T4-01	1123.5296890401	576.872421649881	1700.40211068998	0.656530463434237
TCGA-A2-A0T5-01	226.728639156092	-411.867336145574	-185.138696989483	0.837660275484732
TCGA-A2-A0T6-01	1606.20594468378	844.562784174628	2450.76872885841	0.569637475417906
TCGA-A2-A0T7-01	616.464903463871	-73.2654401583264	543.199463305545	0.774594532234837
TCGA-A2-A0YC-01	587.735733399434	41.0757332295753	628.81146662901	0.766585571993799
TCGA-A2-A0YD-01	1402.87987326063	682.278100401884	2085.15797366251	0.612905208670862
TCGA-A2-A0YE-01	-156.600888047775	-684.310974398079	-840.911862445855	0.886277592701424
TCGA-A2-A0YF-01	26.742166287296	208.332494230655	235.074660517951	0.802398173209507
TCGA-A2-A0YG-01	-335.355684896042	-424.378452137475	-759.734137033517	0.880695878512628
TCGA-A2-A0YH-01	1041.47091225885	1153.06504741771	2194.53595967655	0.60014046589989
TCGA-A2-A0YI-01	988.51296540595	1265.42120243195	2253.9341678379	0.593143487303821
TCGA-A2-A0YJ-01	-745.22518340039	-807.597412428561	-1552.82259582895	0.929754492820473
TCGA-A2-A0YK-01	1198.81863065295	1563.83585566999	2762.65448632295	0.531426367630548
TCGA-A2-A0YL-01	790.370384727793	97.6305220137266	888.00090674152	0.741605773874175
TCGA-A2-A0YM-01	21.9764268741644	594.374377396393	616.350804270557	0.767758818855007
TCGA-A2-A0YT-01	-305.981206447652	-374.71203979725	-680.693246244902	0.875140930295203
TCGA-A2-A1FV-01	67.2515714958439	-1046.79331543648	-979.541743940637	0.895518297492646
TCGA-A2-A1FW-01	181.523199983648	-607.624039700555	-426.100839716906	0.856451358129461
TCGA-A2-A1FX-01	592.002594161126	98.0265460427212	690.029140203848	0.760784381370512
TCGA-A2-A1FZ-01	1028.80694690633	313.172067389049	1341.97901429538	0.695289181137185
TCGA-A2-A1G0-01	896.910391944131	301.986213930963	1198.89660587509	0.71023009596935
TCGA-A2-A1G1-01	785.493020385964	862.662288146661	1648.15530853263	0.662295991519857
TCGA-A2-A1G4-01	-508.76140608612	-337.485483087432	-846.246889173552	0.886640026414279
TCGA-A2-A1G6-01	468.29760394006	-36.4264252587642	431.871178681295	0.7848260881624
TCGA-A2-A259-01	611.777415821302	336.680448911045	948.457864732348	0.735623396509612
TCGA-A2-A25A-01	1312.57734519457	525.743326260015	1838.32067145458	0.641126293838925
TCGA-A2-A25B-01	527.804883120226	129.560477124361	657.365360244587	0.763887384263609
TCGA-A2-A25C-01	587.201011553178	-100.461035881463	486.739975671714	0.779809429953375
TCGA-A2-A25D-01	404.122191705525	1381.76576842028	1785.88796012581	0.64701382369628
TCGA-A2-A25E-01	-0.955536538921005	-532.548250069638	-533.503786608559	0.864483178968813
TCGA-A2-A25F-01	2005.28750903541	2968.89621124225	4974.18372027766	0.233481542049407
TCGA-A2-A3KC-01	1013.55908705824	207.707850130801	1221.26693718904	0.707914642396019
