Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM519338	0.0825209711868061	0.0796931335105434	0	0.037913599720817	0	0.126581108460659	0.00203767243262593	0.0570027879310213	0	0.0572734219882692	0.0362995628300629	0	0	0.192300391584301	0.119912953637641	0.118778729172095	0.0424809519813662	0	0.047204715563792	0	0	0	0.013	0.230820321498538	0.991594898367844
GSM519339	0	0.0903319164345125	0.0215983966061418	0.0411261202884547	0	0.163477648355488	0	0.226772799320349	0	0	0.00143388712140616	0.00751751516297255	0	0.043829047692729	0.0793623543692801	0.156221144448957	0.0300682038109766	0	0	0.0707024790257853	0.0228580048534754	0.0447004825094722	0.073	0.128940818609947	1.03483386468405
GSM519340	0	0.00931008491162982	0.0439577938202394	0.0267421964708798	0	0.0869660541261207	0	0.118416575080845	0	0.0659537789351538	0	0.0687913229979377	0	0	0.0786532600599895	0.136526914577393	0.0172724131832703	0	0	0.274750514064541	0.039779292783419	0.0328797989885812	0.00800000000000001	0.263829590225886	0.992310589240981
GSM519341	0.107526940346681	0	0.164813835736969	0.0463757400672621	0	0.077936634860915	0.0946384699181831	0.0959697845627776	0	0.0580291426007068	0.0850514847244482	0	0	0.0937736475320879	0.103828556888584	0.043892406042757	0.00234040631020107	0.0165047949096389	0.00892335893090628	0	0	0.000394796567882086	0	0.499240991004656	0.865924620557642
GSM519342	0.0732269309743281	0.0971945068401143	0	0	0.0175994033300817	0.103877120036841	0.00944791928316086	0.0924054478260432	0.0112452343092354	0.0188064922190613	0.0375118336995437	0	0	0.282906691289628	0.0991296230094075	0.100172790661061	0.022011696695248	0	0.00212271137342425	0.0222738592130178	0.00391765019866498	0.00615008904113891	0	0.519441772219276	0.856499461924247
GSM519343	0.0380506245583884	0.000235919291071517	0.0224646742843152	0	0.0158375916781789	0.173650579999707	0.00678008346852842	0.0905544020309704	0	0.0302486965406646	0.0254513367796192	0	0	0.167784581166881	0.278619125199607	0.0540822324595275	0.0553972322200867	0	0.0357321320992325	0.00511078822322178	0	0	0	0.525085395803848	0.85055816847619
GSM519344	0.0357093723885051	0	0.102490548659455	0.219290744675415	0	0.0243001903917865	0.0507390459724526	0.0952915632588237	0	0.10297807344604	0.0220654303746686	0	0	0.0924999689108974	0.191903280680234	0.0340245889897869	0.00921384578060812	0	0	0.0194933464713255	0	0	0	0.597391062358251	0.805782404370237
GSM519345	0	0.0261649873781595	0.0224842392837004	0	0	0.110972086286413	0	0.0957078910173972	0.018817064801012	0.0192887878826506	0.0149353455213976	0.000809551228719028	0	0.223934034905022	0.157894069171107	0.159895069701745	0.037909906611927	0	0.0989404009208094	0.0122465652899413	0	0	0.003	0.335258250316798	0.948579104865039
GSM519346	0.0491396002645941	0	0.111151711374175	0.00719104199656172	0	0.0521562570755161	0.0675229581910403	0.0714708525794601	0	0.129359769089566	0.00314505118753747	0	0	0.213565916852107	0.198244331053681	0.0587548049904856	0.0174910568662523	0	0	0.00304106863940248	0	0.0177655798396207	0	0.570440249680997	0.824572657602064
GSM519347	0.0338747074222293	0	0.0526161905313208	0.0535823990905739	0	0.0650526367455071	0.0340236018617627	0.0855049837296762	0	0.12909176246484	0	0	0	0.22726698879428	0.162358818845655	0.0598705564738843	0.0712926235287558	0	0.0254647305115147	0	0	0	0	0.714685044748042	0.74453952770606
GSM519348	0.072127614032915	0	0.0252159635535624	0.0803612307367621	0.00291436224638082	0.0503589449823611	0.134199557500286	0.0691579090381426	0	0.191877832055356	0.0413173376416196	0	0	0.111558345537473	0.144492346765941	0.0440808247902144	0.0213109937351012	0	0	0.0110267373838846	0	0	0	0.563561648044164	0.830010701571348
GSM519349	0.0405085894489353	0	0.0494795401139291	0	0	0.168301047878489	0	0.0844141295275044	0	0.111637063159743	0	0.0191421203644279	0	0.0648776531643997	0.156136362243841	0.113691027765699	0.0292871936401144	0.00714411170787231	0.153420489284647	0	0	0.00196067170039835	0.001	0.402735594696261	0.914786941751901
GSM519350	0.0367995684025982	0	0.127033536711702	0.00856442054612556	0	0.0873040310722037	0.0337557368895511	0.0987998813035353	0.0181859361024917	0.15400856370958	0	0	0	0.0724582567842167	0.158645421463014	0.120756014242507	0.0521591199558948	0	0.011331443538896	0.00361745670129998	0	0.0165806125763836	0	0.679326458138228	0.767535737478154
