Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-A2-A0D1-01	0.0639120841928057	0	0.0478252052997002	0.0595139805033118	0	0.150936764946705	0	0.0847094633512957	0.0426598657615465	0	0.02501664389171	0.00414952045546368	0	0.338545549779426	0.0590612514941562	0.122281854424501	0	0	0.00138781589937891	0	0	0	0.275	0.0722915738205374	1.08101098417553
TCGA-A2-A0D2-01	0.0758071058354085	0	0.0314222914173429	0.0825516409124222	0	0.0880213484796438	0.0299552207566363	0.11021896988615	0.0233393998902791	0	0.0142898419421756	0	0.0208495194492483	0.244749256513494	0.0860307118241794	0.149494230794993	0	0.0105299742231367	0.0327404880748901	0	0	0	0.00900000000000001	0.290586429222658	0.96869450561657
TCGA-A2-A0D3-01	0.102376635902701	0	0.0870231823764495	0.116153539721017	0	0.190227635290233	0	0.123186497179624	0	0.0292580134558418	0	0.0130101881746226	0	0	0.0661017531512566	0.20600377823485	0	0.0346977107099655	0.0319610658034398	0	0	0	0.176	0.100412056844444	1.04374126049212
TCGA-A2-A0D4-01	0	0.0032525887772604	0.00940203547284797	0	0	0.365254661077623	0	0.0967484469495956	0.000488228289171736	0	0.0307023965659717	0.04448619594204	0.0305105297195752	0.12666378659379	0	0.0626538197631284	0	0	0.229837310848997	0	0	0	0.017	0.226543648733721	1.00222003238711
TCGA-A2-A0EM-01	0.0442793388745011	0	0.00637213454876063	0.037567195823572	0	0.177481250237687	0	0.0195810992168959	0.00644555879447107	0	0	0.00685741124933539	0.0839857620231093	0	0.0282988083246009	0.36437514669276	0.0614771862676553	0.0525969649371457	0.110682143009506	0	0	0	0.462	0.0382828056286221	1.07067920871013
TCGA-A2-A0EO-01	0.057002859820294	0	0.0563520322044655	0.0695818208088291	0	0.267891789927835	0	0.0194321650100202	0.0193525529656834	0	0.0140818925987415	0	0.00861749248139571	0.0869150152922205	0.0680335914295434	0.244783833225238	0.003315852991421	0	0.0846391012443131	0	0	0	0.053	0.165691984537564	1.01587641496037
TCGA-A2-A0EP-01	0.0854077848401997	0.0148455111032148	0	0.0622125781275418	0	0.102903436891306	0.0258592337490505	0.0743105194937335	0.022895483326017	0	0.0214081511579173	0	0.0242364505720715	0.314441996332826	0.00381272660942673	0.172466739767562	0.0224246068432803	0.0333053082903388	0.0194694728955132	0	0	0	0.001	0.544766926515393	0.840421350633556
TCGA-A2-A0EQ-01	0.0969604839865972	0	0	0.111309396033871	0	0.174300119096503	0.0271451433505128	0.0776098899713386	0.0721312160416336	0	0.0196318498907333	0	0	0.163395437845805	0.122141274699666	0.105354537179109	0	0	0.0300206519042301	0	0	0	0.004	0.399125735626026	0.917992805198448
TCGA-A2-A0ER-01	0.0368029700436317	0	0.0688252217473218	0.00224237205603086	0	0.292168050997383	0	0.0570256001309487	0.000211230099749959	0	0.0143306039043991	0.00249191657332838	0.0126597992162039	0.0194329726517831	0.0407442878258682	0.25610517046355	0	0.0208789776467547	0.174220508763369	0	0	0.00186031787967807	0.233	0.0847711668913734	1.04391843220622
TCGA-A2-A0ES-01	0.0714450127082691	0	0.0286482074225762	0.0475732545311125	0	0.290820205774186	0	0.0167737312230283	0	0	0.0116526857530356	0	0.0138069047849685	0	0.0529658901368365	0.365490421183437	0	0.0308688368113021	0.069954849671248	0	0	0	0.345	0.0594205882894118	1.06312665395089
